age,workclass,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,education_id,marital_status_id,occupation_id
17, Private, Own-child, White, Female,0,0,12, United-States, <=50K,3,1,6
44, Local-gov, Husband, Black, Male,0,0,40, United-States, <=50K,2,2,8
37, Private, Husband, White, Male,0,0,40, United-States, >50K,2,2,7
35, Private, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K,6,1,6
60, Private, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K,2,2,7
54, Self-emp-inc, Husband, White, Male,0,0,40, United-States, >50K,9,2,10
37, Private, Not-in-family, Black, Male,0,0,60, United-States, >50K,1,1,2
50, Private, Not-in-family, White, Female,0,0,40, United-States, <=50K,7,3,6
38, Private, Husband, White, Male,0,0,50, Poland, <=50K,1,2,6
45, Private, Husband, White, Male,0,0,55, United-States, <=50K,1,2,4
25, Private, Not-in-family, White, Male,0,0,40, United-States, <=50K,13,1,7
31, Private, Husband, White, Male,0,0,40, United-States, <=50K,6,2,3
64,nan, Not-in-family, White, Male,0,0,40, United-States, <=50K,14,3,12
90, Private, Not-in-family, Black, Male,0,2206,40, United-States, <=50K,2,1,5
54, Private, Husband, Black, Male,0,0,20, United-States, <=50K,2,2,1
53, Local-gov, Not-in-family, White, Female,0,0,35, United-States, <=50K,15,1,10
18, Private, Own-child, White, Female,0,0,40, United-States, <=50K,2,1,6
60,nan, Not-in-family, Amer-Indian-Eskimo, Female,0,0,10, United-States, <=50K,13,3,12
66, Self-emp-not-inc, Husband, White, Male,1409,0,50, United-States, <=50K,2,2,9
75, Private, Not-in-family, White, Female,0,0,20, Columbia, <=50K,8,7,1
65, Private, Not-in-family, White, Female,0,0,40, United-States, <=50K,2,3,1
35, Private, Not-in-family, Black, Male,3674,0,40, United-States, <=50K,3,5,8
41, Private, Unmarried, Black, Female,0,0,38, United-States, <=50K,2,3,6
25, Private, Not-in-family, White, Male,0,0,42, United-States, <=50K,6,1,1
33, Private, Other-relative, Other, Female,0,0,40, United-States, <=50K,6,3,7
28, Private, Not-in-family, White, Male,0,0,55, United-States, >50K,11,1,4
59, State-gov, Husband, White, Male,0,0,40, United-States, <=50K,2,2,5
40, State-gov, Not-in-family, White, Female,0,0,38, United-States, <=50K,6,1,1
41, Private, Husband, White, Male,0,0,50, Iran, >50K,1,2,2
38, Local-gov, Husband, White, Male,0,0,70, United-States, >50K,4,2,2
23, Private, Own-child, White, Male,0,0,40, United-States, <=50K,2,1,8
40, Private, Husband, White, Male,0,0,40, United-States, >50K,1,2,4
41, Self-emp-not-inc, Wife, White, Female,0,0,20, United-States, <=50K,2,2,5
24, State-gov, Husband, White, Male,0,0,50, United-States, <=50K,7,2,13
20,nan, Own-child, White, Male,0,0,20, United-States, <=50K,6,1,12
38, Private, Not-in-family, White, Male,0,1741,40, United-States, <=50K,6,3,7
56, Private, Husband, White, Male,0,0,35,nan, <=50K,2,2,1
58, Private, Husband, White, Male,0,0,45, United-States, >50K,2,2,1
32, Private, Not-in-family, White, Female,0,0,34, United-States, <=50K,2,1,5
40, Private, Husband, White, Male,0,1977,60, United-States, >50K,7,2,11
45, Private, Husband, White, Male,0,0,40,nan, <=50K,2,2,1
41, Private, Wife, White, Female,0,0,40, United-States, >50K,11,2,4
42, Private, Wife, Black, Female,0,0,40, United-States, <=50K,1,2,1
59, Local-gov, Unmarried, Black, Female,0,0,30, United-States, <=50K,13,7,5
19, Local-gov, Own-child, White, Male,0,0,40, United-States, <=50K,6,1,1
58, Private, Not-in-family, White, Male,0,0,20, United-States, <=50K,6,1,8
42, Self-emp-not-inc, Husband, Asian-Pac-Islander, Male,0,0,40, Cambodia, >50K,2,2,9
20, Private, Own-child, White, Female,0,0,40, United-States, <=50K,2,1,5
32, Private, Not-in-family, White, Female,0,0,30, United-States, <=50K,2,5,5
45, Private, Not-in-family, White, Female,0,0,45, United-States, <=50K,8,7,2
50, Private, Not-in-family, White, Male,0,0,40, United-States, <=50K,9,3,7
36, Private, Own-child, White, Female,0,0,40, United-States, <=50K,1,3,4
45, Private, Husband, White, Male,0,0,60, United-States, <=50K,2,2,6
17, Private, Own-child, White, Male,0,0,12, United-States, <=50K,3,1,5
59, Private, Husband, White, Male,4064,0,40, United-States, <=50K,6,2,6
26, Private, Husband, White, Male,0,0,40, United-States, <=50K,3,2,7
37, Self-emp-inc, Husband, Asian-Pac-Islander, Male,0,0,75, Thailand, >50K,6,2,2
19,nan, Own-child, White, Male,0,0,24, Canada, <=50K,6,1,12
64, Private, Husband, White, Male,0,0,40, United-States, >50K,2,2,2
33, Private, Not-in-family, White, Female,0,0,45, United-States, <=50K,1,1,4
33, Private, Wife, White, Female,0,0,40, United-States, >50K,2,2,7
61, Private, Husband, White, Male,0,0,40, United-States, >50K,2,2,2
17, Private, Own-child, White, Male,1055,0,24, United-States, <=50K,5,1,5
50, Self-emp-not-inc, Husband, White, Male,2407,0,98, United-States, <=50K,4,2,9
27, Local-gov, Own-child, White, Male,0,0,35, United-States, <=50K,4,1,4
30, Private, Own-child, White, Female,0,0,40, United-States, <=50K,2,3,4
43, Private, Husband, Black, Male,0,0,40, United-States, <=50K,2,2,3
44, Private, Husband, White, Male,7298,0,40, United-States, >50K,6,2,7
35, Private, Not-in-family, White, Female,0,0,40, United-States, <=50K,6,1,2
25, Private, Own-child, White, Female,0,0,40, United-States, <=50K,6,1,11
24, Private, Wife, White, Female,7298,0,48, United-States, >50K,6,2,10
22, Private, Not-in-family, White, Female,0,0,15, Germany, <=50K,1,1,4
42, Local-gov, Husband, White, Male,5178,0,40, United-States, >50K,6,2,7
34, Private, Unmarried, Black, Female,0,0,45, United-States, <=50K,7,3,6
60, Private, Not-in-family, White, Female,0,0,42, United-States, <=50K,1,3,4
21, Private, Own-child, White, Male,0,0,40, United-States, <=50K,2,1,3
57, Federal-gov, Husband, White, Male,15024,0,40, United-States, >50K,4,2,6
41, Private, Husband, White, Male,0,0,60, United-States, >50K,11,2,4
50, Private, Not-in-family, White, Male,0,0,45, United-States, <=50K,6,3,5
25, Private, Not-in-family, White, Female,0,0,40, United-States, <=50K,1,1,2
50, Private, Husband, White, Male,0,0,40, Ecuador, <=50K,9,2,7
36, Private, Husband, White, Male,0,0,45, United-States, <=50K,1,2,4
31, Private, Not-in-family, White, Female,0,0,40, United-States, <=50K,2,3,4
29, Local-gov, Not-in-family, White, Male,0,0,56, United-States, <=50K,1,1,13
21, Private, Own-child, White, Male,0,0,45, United-States, <=50K,6,1,6
27, Private, Unmarried, Black, Female,0,0,40, United-States, <=50K,1,1,11
65, Private, Husband, White, Male,0,0,16, United-States, <=50K,2,2,8
37, Self-emp-inc, Not-in-family, White, Female,0,0,60, United-States, <=50K,1,3,6
39,nan, Wife, Asian-Pac-Islander, Female,3464,0,40,nan, <=50K,4,2,12
24, Private, Own-child, White, Male,0,0,40, United-States, <=50K,2,1,7
38, Private, Not-in-family, White, Male,0,0,80, United-States, <=50K,2,3,6
48, Private, Husband, White, Male,7688,0,40, United-States, >50K,1,2,1
21, Private, Not-in-family, Asian-Pac-Islander, Female,0,0,25, United-States, <=50K,6,1,5
31, Private, Husband, White, Male,0,0,45, United-States, >50K,2,2,8
55, Private, Husband, White, Male,4386,0,40, United-States, >50K,2,2,6
24, Private, Wife, Asian-Pac-Islander, Female,0,0,40, Laos, <=50K,6,2,1
43, Private, Not-in-family, White, Female,0,0,40, United-States, <=50K,2,3,1
26, Private, Not-in-family, White, Male,0,0,45, United-States, <=50K,7,1,11
46, Private, Not-in-family, White, Female,0,0,33, United-States, <=50K,7,1,4
35, Private, Husband, White, Male,0,0,40, United-States, >50K,7,2,1
41, Self-emp-inc, Husband, White, Male,0,0,54, United-States, >50K,6,2,9
26, Private, Not-in-family, White, Male,0,0,40, United-States, <=50K,1,1,6
34, Private, Husband, Asian-Pac-Islander, Male,7298,0,35, Taiwan, >50K,4,2,2
19,nan, Own-child, Black, Female,0,0,25, United-States, <=50K,6,1,12
36, Self-emp-not-inc, Not-in-family, Black, Female,0,0,40, United-States, >50K,1,3,4
22, Private, Own-child, White, Male,0,0,15, United-States, <=50K,6,1,6
24, Private, Not-in-family, White, Male,0,0,40, United-States, <=50K,6,1,10
77, Self-emp-not-inc, Husband, White, Male,0,0,40, United-States, <=50K,6,2,6
22, Private, Other-relative, White, Female,0,0,40, Mexico, <=50K,12,2,10
29, Private, Not-in-family, White, Female,0,0,40, United-States, <=50K,6,1,11
62, Private, Not-in-family, White, Female,0,0,24, United-States, <=50K,2,7,5
39, Self-emp-not-inc, Husband, White, Male,0,0,40, United-States, <=50K,2,2,2
43, Private, Husband, White, Male,0,1485,50, United-States, <=50K,6,2,7
35, Private, Not-in-family, White, Male,0,0,45, United-States, <=50K,2,3,8
29, Private, Not-in-family, White, Female,0,0,40, United-States, <=50K,3,1,2
76, Self-emp-not-inc, Husband, White, Male,0,0,10, United-States, <=50K,4,2,7
63, Self-emp-not-inc, Husband, White, Male,0,0,45, United-States, <=50K,2,2,9
23,nan, Own-child, Black, Female,0,0,15, United-States, <=50K,8,1,12
43, Private, Wife, White, Female,0,1887,50, United-States, >50K,6,2,4
58, Self-emp-not-inc, Husband, White, Male,0,0,40, United-States, <=50K,2,2,3
66, Private, Not-in-family, White, Male,2050,0,55, United-States, <=50K,2,1,8
41, Private, Not-in-family, Black, Male,0,0,45, United-States, <=50K,6,1,7
26, Private, Not-in-family, White, Male,0,0,40, United-States, <=50K,1,1,1
47, Private, Not-in-family, White, Male,0,0,40, United-States, <=50K,8,1,5
55, Local-gov, Husband, White, Male,0,0,40, United-States, <=50K,13,2,1
53, Private, Husband, White, Male,0,0,40, United-States, <=50K,2,2,8
17, Private, Other-relative, White, Male,0,0,48, Mexico, <=50K,12,1,5
30, Private, Other-relative, White, Male,0,0,40, United-States, <=50K,2,1,7
49, Private, Not-in-family, White, Male,0,0,60, United-States, <=50K,4,1,4
19, Private, Unmarried, Black, Male,0,0,30, Haiti, <=50K,2,1,6
45, Private, Husband, Black, Male,0,0,40, United-States, <=50K,2,2,5
26, Private, Not-in-family, White, Male,0,0,40, United-States, <=50K,7,1,6
38, Private, Husband, White, Male,7298,0,40, United-States, >50K,8,2,7
36, State-gov, Husband, White, Male,7298,0,40, United-States, >50K,2,2,13
33, Private, Not-in-family, White, Male,0,0,20, United-States, <=50K,2,1,9
22, State-gov, Own-child, Black, Female,0,0,40, United-States, <=50K,6,1,13
43, Self-emp-not-inc, Not-in-family, White, Male,0,0,42, United-States, <=50K,1,1,6
67,nan, Husband, White, Male,0,0,8, United-States, <=50K,3,2,12
30,nan, Unmarried, White, Female,0,0,40, United-States, <=50K,8,3,12
56, Private, Not-in-family, White, Male,0,0,25, Iran, <=50K,7,4,5
31, Private, Own-child, White, Male,0,0,25, United-States, <=50K,1,1,4
33, Private, Husband, White, Male,0,0,40, United-States, >50K,1,2,2
26, Private, Husband, White, Male,0,0,40, United-States, <=50K,2,2,5
33, Private, Husband, White, Male,0,0,40, United-States, >50K,1,2,2
46, Local-gov, Husband, White, Male,0,0,30, United-States, <=50K,3,2,8
59,nan, Husband, White, Male,0,0,40, United-States, >50K,1,2,12
38, Federal-gov, Husband, White, Male,0,0,40, United-States, >50K,2,2,1
65, Private, Unmarried, Other, Male,0,0,40, United-States, <=50K,3,7,5
40, Private, Husband, White, Male,0,0,40, United-States, >50K,8,2,11
42, Private, Wife, White, Female,0,0,35, United-States, <=50K,2,2,1
26, Self-emp-not-inc, Husband, White, Male,0,0,40, Portugal, <=50K,5,2,7
36, Private, Wife, White, Female,0,0,24, United-States, <=50K,13,2,5
62, Private, Husband, White, Male,0,0,40, United-States, >50K,4,2,4
43, Private, Husband, White, Male,0,0,45, United-States, <=50K,1,2,8
43, Private, Not-in-family, White, Male,0,1564,45, United-States, >50K,1,3,2
22, Private, Not-in-family, White, Male,0,0,55, United-States, <=50K,2,4,6
